,year,aqi
0,1969,12.0
1,1970,10.0
2,1971,5.5
3,1972,6.62962962962963
4,1973,22.384615384615383
5,1974,24.384615384615383
6,1975,45.92307692307692
7,1976,42.2
8,1977,38.8
9,1978,48.2
10,1979,40.5
11,1980,47.0
12,1999,37.666666666666664
13,2000,40.763636363636365
14,2001,38.779661016949156
15,2002,42.589285714285715
16,2003,43.354838709677416
17,2004,40.4
18,2005,57.77777777777778
19,2008,45.72727272727273
20,2009,42.96666666666667
21,2010,35.74074074074074
22,2018,34.48598130841121
23,2019,38.82035928143713
24,2020,35.859550561797754
25,2021,38.87150837988827
