Unnamed: 0.1,Year_leisure,Period_leisure,Label_leisure,Value_leisure,date,Year_service,Period_service,Label_service,Value_service,Unnamed: 0,name,year,start date,end date,type,distance,size,smoke estimate,start_date_ym,end_date_ym
0,1990,M05,May,9800.0,1990-05-01,1990,M05,May,89300.0,16680,TEXAS (2),1990,1990-05-19,1990-05-19,Wildfire,455.1106359133581,1725.42183552688,4.947803511592376,1990-05,1990-05
6,1990,M05,May,9800.0,1990-05-01,1990,M05,May,89300.0,16915,LE FIRE (2),1990,1990-05-21,1990-05-21,Wildfire,459.3490476648634,104.7859394293116,4.0570295834736125,1990-05,1990-05
13,1990,M06,Jun,9600.0,1990-06-01,1990,M06,Jun,89600.0,16614,CULBERSON (2),1990,1990-06-28,1990-06-29,Wildfire,638.9475039168426,33757.923393568366,17.208410388422877,1990-06,1990-06
15,1990,M06,Jun,9600.0,1990-06-01,1990,M06,Jun,89600.0,16635,Big Canyon (2),1990,1990-06-19,1990-06-28,Wildfire,331.8165396071778,9216.32160581478,10.943838315538423,1990-06,1990-06
16,1990,M06,Jun,9600.0,1990-06-01,1990,M06,Jun,89600.0,16675,DEVIL HILL (3),1990,1990-06-19,1990-06-22,Wildfire,585.959243313636,2029.299483241913,4.865802317481204,1990-06,1990-06
19,1990,M06,Jun,9600.0,1990-06-01,1990,M06,Jun,89600.0,16746,CLAUNCH (2),1990,1990-06-20,1990-06-24,Wildfire,524.3338497222409,547.9864219059476,4.26127743907638,1990-06,1990-06
20,1990,M06,Jun,9600.0,1990-06-01,1990,M06,Jun,89600.0,16756,FLYING V (2),1990,1990-06-26,1990-06-26,Wildfire,613.2423483336515,509.5253335601122,4.207717770529316,1990-06,1990-06
24,1990,M06,Jun,9600.0,1990-06-01,1990,M06,Jun,89600.0,16858,GRAPEVINE (3),1990,1990-06-08,1990-06-09,Wildfire,430.12927708189153,179.4612232955934,4.104306561339596,1990-06,1990-06
28,1990,M06,Jun,9600.0,1990-06-01,1990,M06,Jun,89600.0,16950,SANLUIS (2),1990,1990-06-28,1990-06-28,Wildfire,588.4979630986978,75.4350539182883,4.032045588365799,1990-06,1990-06
40,1990,M06,Jun,9600.0,1990-06-01,1990,M06,Jun,89600.0,17213,CAPULIN (3),1990,1990-06-27,1990-06-29,Wildfire,565.9352536972691,3.986482600852732,4.001761015317039,1990-06,1990-06
41,1990,M06,Jun,9600.0,1990-06-01,1990,M06,Jun,89600.0,17239,NO RAIN (3),1990,1990-06-20,1990-06-23,Wildfire,449.0843456256486,2.736141558517222,4.001523177987147,1990-06,1990-06
52,1990,M07,Jul,9700.0,1990-07-01,1990,M07,Jul,88800.0,16636,FRIJOLE (4),1990,1990-06-25,1990-07-12,Wildfire,452.4410184271538,6016.228933493826,7.324316700112858,1990-06,1990-07
107,1990,M07,Jul,9700.0,1990-07-01,1990,M07,Jul,88800.0,17202,INDEPENDEN (2),1990,1990-07-04,1990-07-04,Wildfire,433.02838146637663,4.5648456128818085,4.002635419413748,1990-07,1990-07
110,1990,M07,Jul,9700.0,1990-07-01,1990,M07,Jul,88800.0,17220,DITCH (3),1990,1990-07-03,1990-07-03,Wildfire,460.2063566230637,3.6466451542595055,4.001980983694477,1990-07,1990-07
168,1990,M08,Aug,9800.0,1990-08-01,1990,M08,Aug,89000.0,16844,WEST TIP (2),1990,1990-08-03,1990-08-04,Wildfire,522.6468097924975,200.69311825216369,4.095998442204135,1990-08,1990-08
320,1990,M10,Oct,9800.0,1990-10-01,1990,M10,Oct,90700.0,16621,Big (3),1990,1990-05-13,1990-10-31,Wildfire,448.03148504083214,18499.29206250748,14.322540200953464,1990-05,1990-10
413,1990,M10,Oct,9800.0,1990-10-01,1990,M10,Oct,90700.0,16808,PEDRO (3),1990,1990-06-21,1990-10-31,Wildfire,599.4212070317226,293.806749694668,4.122537685624092,1990-06,1990-10
431,1990,M10,Oct,9800.0,1990-10-01,1990,M10,Oct,90700.0,16838,No Fire Name Provided (3),1990,1990-06-28,1990-10-31,Wildfire,515.8362821088499,214.2549776370512,4.103838652431121,1990-06,1990-10
463,1990,M10,Oct,9800.0,1990-10-01,1990,M10,Oct,90700.0,16917,SYPHER (3),1990,1990-06-19,1990-10-31,Wildfire,615.3594768283197,101.98678332037538,4.041433823301964,1990-06,1990-10
466,1990,M10,Oct,9800.0,1990-10-01,1990,M10,Oct,90700.0,16923,Copper Gulch (4),1990,1990-12-31,1990-10-31,Wildfire,612.8207737390347,94.3021321513676,4.038470518703208,1990-12,1990-10
485,1990,M10,Oct,9800.0,1990-10-01,1990,M10,Oct,90700.0,16963,No Fire Name Provided (3),1990,1990-06-19,1990-10-31,Wildfire,606.5369869975556,64.67534744579052,4.026657627165469,1990-06,1990-10
496,1990,M10,Oct,9800.0,1990-10-01,1990,M10,Oct,90700.0,16985,SPRING (3),1990,1990-06-09,1990-10-31,Wildfire,568.3433124552071,48.643225500950415,4.02139693757054,1990-06,1990-10
498,1990,M10,Oct,9800.0,1990-10-01,1990,M10,Oct,90700.0,16989,CATUS (3),1990,1990-08-10,1990-10-31,Wildfire,542.1996653408556,46.95223603406413,4.021648960261045,1990-08,1990-10
502,1990,M10,Oct,9800.0,1990-10-01,1990,M10,Oct,90700.0,16997,UNION T (2),1990,1990-08-05,1990-10-31,Wildfire,648.0210367912158,44.89339170368909,4.017319419106356,1990-08,1990-10
511,1990,M10,Oct,9800.0,1990-10-01,1990,M10,Oct,90700.0,17013,nmbap-41 (2),1990,1990-06-19,1990-10-31,Wildfire,568.5086989493683,39.84825006939416,4.017523148785162,1990-06,1990-10
512,1990,M10,Oct,9800.0,1990-10-01,1990,M10,Oct,90700.0,17014,nmbap-40 (2),1990,1990-06-18,1990-10-31,Wildfire,567.3732683727362,42.53098216889024,4.018740300495153,1990-06,1990-10
516,1990,M10,Oct,9800.0,1990-10-01,1990,M10,Oct,90700.0,17026,Corral Hill 90 (2),1990,1990-10-10,1990-10-31,Wildfire,566.12858711691,31.867093473662727,4.014072374279822,1990-10,1990-10
519,1990,M10,Oct,9800.0,1990-10-01,1990,M10,Oct,90700.0,17033,POTS (2),1990,1990-10-03,1990-10-31,Wildfire,646.3012250805016,29.96395986311751,4.011590555108179,1990-10,1990-10
